filename,filter_ds,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
results_hivecotev2.csv,_0_0,0.7676997,0.7537578,0.7506678,0.7676997,0.0184529,0.0216621,0.0216744,0.0184529,0.7164662093294452,0.6936142019977982,0.6904899043665842,0.7164662093294452,0.8189331057680056,0.813901425712575,0.8108457123359785,0.8189331057680056
results_hivecotev2.csv,_0_1,0.6797656,0.6696055,0.6757275,0.6797656,0.0290903,0.0307482,0.0335195,0.0290903,0.5989979841890963,0.5842348042858929,0.5826623094251854,0.5989979841890963,0.7605331764741398,0.7549760963744907,0.7687926185153812,0.7605331764741398
results_hivecotev2.csv,_0_2,0.7139515,0.7070552,0.7110871,0.7139515,0.0290238,0.0310387,0.0301166,0.0290238,0.6333684979474197,0.6208778651316096,0.6274701395529224,0.6333684979474197,0.7945344180644538,0.7932325677654752,0.7947041559949567,0.7945344180644538
results_hivecotev2.csv,_1_0,0.6830082,0.6795749,0.6834355,0.6830082,0.009393,0.007927,0.0083632,0.009393,0.6569289108212474,0.6575660960926438,0.6602154303628763,0.6569289108212474,0.7090874005652205,0.7015837807074249,0.7066556223321995,0.7090874005652205
results_hivecotev2.csv,_1_2,0.6596448,0.6549286,0.6625155,0.6596448,0.0193722,0.0197049,0.0181552,0.0193722,0.6058588707355658,0.6002190289807804,0.6121084747047087,0.6058588707355658,0.7134307349475887,0.7096382191971943,0.7129225252148255,0.7134307349475887
results_hivecotev2.csv,_1_4,0.6719828,0.6603452,0.6690231,0.6719828,0.0171007,0.0199974,0.0149765,0.0171007,0.6245035501365775,0.6048235188577313,0.6274416479012354,0.6245035501365775,0.7194619671048016,0.7158668346824097,0.7106046293288301,0.7194619671048016
results_fresh_prince.csv,_0_0,0.6757959,0.6724367,0.6732549,0.6757959,0.0366285,0.0351513,0.0349626,0.0366285,0.5740987686193337,0.5748408908858222,0.5761831417352629,0.5740987686193337,0.7774929956389001,0.770032420508149,0.7703267098630387,0.7774929956389001
results_fresh_prince.csv,_0_1,0.5672356,0.5645201,0.5677455,0.5672356,0.0174332,0.0187379,0.0207995,0.0174332,0.5188333617285373,0.5124953411875898,0.5099968179894332,0.5188333617285373,0.6156377646293815,0.6165448593611925,0.6254941600904382,0.6156377646293815
results_fresh_prince.csv,_0_2,0.5981584,0.5959103,0.5975244,0.5981584,0.021744,0.0219009,0.0212357,0.021744,0.5377873763625672,0.5351036633755433,0.5385646764267177,0.5377873763625672,0.6585294852869293,0.6567168999890307,0.6564840996385527,0.6585294852869293
results_fresh_prince.csv,_1_0,0.4816598,0.4827798,0.4852818,0.4816598,0.0062881,0.0060553,0.0068228,0.0062881,0.4642013042703241,0.46596771573148105,0.46633870604938404,0.4642013042703241,0.4991183779026606,0.4995919654900543,0.504224918858176,0.4991183779026606
results_fresh_prince.csv,_1_2,0.4686889,0.4689043,0.4704532,0.4686889,0.0139202,0.0139132,0.0136141,0.0139202,0.43004025810379853,0.43027496805832677,0.43265443209411975,0.43004025810379853,0.5073375228739536,0.507533615567834,0.5082520369966145,0.5073375228739536
results_fresh_prince.csv,_1_4,0.4633621,0.4629532,0.4645628,0.4633621,0.027901,0.0288985,0.0299155,0.027901,0.385896606528133,0.3827181211512826,0.38150394313407787,0.385896606528133,0.5408275314029015,0.5431882264334102,0.5476216813070642,0.5408275314029015
