id,kmeans_cluster_k5
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,0
50,0
51,0
52,1
53,0
54,0
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,1
198,1
199,1
200,0
201,1
202,0
203,1
204,1
205,1
206,0
207,1
208,1
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,0
227,0
228,3
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,1
240,1
241,0
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,1
260,1
261,0
262,1
263,3
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,0
272,0
273,1
274,1
275,1
276,1
277,1
278,1
279,0
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,0
288,0
289,1
290,1
291,1
292,0
293,0
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,0
304,1
305,1
306,1
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,0
315,0
316,0
317,0
318,1
319,1
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,1
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,0
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,1
361,1
362,0
363,1
364,3
365,1
366,0
367,1
368,0
369,0
370,1
371,0
372,1
373,1
374,1
375,1
376,1
377,1
378,0
379,0
380,1
381,0
382,0
383,1
384,1
385,0
386,1
387,0
388,1
389,1
390,0
391,1
392,0
393,1
394,0
395,0
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,0
409,1
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,1
426,1
427,1
428,1
429,0
430,3
431,1
432,1
433,3
434,1
435,1
436,3
437,1
438,1
439,3
440,1
441,1
442,1
443,0
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,1
462,0
463,0
464,1
465,0
466,0
467,1
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,0
483,0
484,1
485,0
486,1
487,1
488,1
489,1
490,1
491,1
492,0
493,0
494,1
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,0
506,1
507,1
508,1
509,1
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,1
519,1
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,0
534,1
535,1
536,1
537,0
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,1
563,1
564,0
565,1
566,1
567,1
568,1
569,1
570,1
571,0
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,0
583,0
584,1
585,1
586,1
587,1
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,1
597,1
598,1
599,1
600,0
601,1
602,1
603,1
604,0
605,0
606,1
607,0
608,1
609,0
610,1
611,1
612,0
613,1
614,1
615,0
616,0
617,1
618,1
619,0
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,1
628,1
629,0
630,0
631,1
632,1
633,1
634,1
635,1
636,0
637,1
638,0
639,0
640,1
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,0
657,1
658,1
659,1
660,0
661,0
662,0
663,1
664,0
665,1
666,1
667,0
668,1
669,0
670,1
671,1
672,1
673,0
674,0
675,1
676,0
677,1
678,1
679,0
680,0
681,0
682,0
683,0
684,1
685,1
686,1
687,0
688,1
689,1
690,0
691,0
692,1
693,0
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,1
702,1
703,0
704,0
705,1
706,1
707,0
708,1
709,1
710,0
711,1
712,1
713,0
714,0
715,0
716,1
717,1
718,1
719,1
720,1
721,1
722,0
723,0
724,1
725,1
726,0
727,1
728,0
729,1
730,1
731,0
732,1
733,0
734,0
735,1
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,0
744,1
745,0
746,1
747,1
748,1
749,1
750,1
751,1
752,0
753,0
754,1
755,1
756,0
757,1
758,0
759,0
760,1
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,1
770,0
771,0
772,0
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,1
782,0
783,1
784,0
785,1
786,1
787,0
788,0
789,1
790,1
791,0
792,1
793,0
794,1
795,0
796,1
797,0
798,1
799,1
800,0
801,0
802,1
803,0
804,1
805,1
806,1
807,1
808,0
809,1
