filename,accuracy_score_mean,f1_score_mean,precision_score_mean,recall_score_mean,accuracy_score_std,f1_score_std,precision_score_std,recall_score_std,accuracy_score_ci_l,f1_score_ci_l,precision_score_ci_l,recall_score_ci_l,accuracy_score_ci_h,f1_score_ci_h,precision_score_ci_h,recall_score_ci_h
tde,0.7155963166666667,0.7176871166666666,0.7318094,0.7155963166666667,0.029447683333333335,0.03142548333333333,0.03240361666666667,0.029447683333333335,0.6338364420858692,0.630436040377192,0.6418425220571645,0.6338364420858692,0.7973562184645894,0.8049381903889645,0.8217762780040211,0.7973562184645894
weasel_d,0.7179885,0.7100045666666667,0.7163033833333333,0.7179885,0.024021416666666667,0.02520238333333333,0.0262,0.024021416666666667,0.6512943771954971,0.6400315274408811,0.6435604782648255,0.6512943771954971,0.7846826547838951,0.7799776018364377,0.7890462875495553,0.7846826547838951
rdst,0.7127927,0.70512,0.7085317333333334,0.7127927,0.017487033333333332,0.017986933333333333,0.01759245,0.017487033333333332,0.6642409365768753,0.6551802477247488,0.6596872178314283,0.6642409365768753,0.7613444581646759,0.7550597539222431,0.7573762448557226,0.7613444581646759
hydra,0.7134038666666666,0.7047758333333333,0.7105317000000001,0.7134038666666666,0.0232846,0.0248594,0.025063116666666666,0.0232846,0.6487554175695267,0.6357550696327826,0.6409453674024989,0.6487554175695267,0.7780523423173427,0.7737966143640914,0.7801180520983578,0.7780523423173427
ridge_cv,0.7066093999999999,0.69506215,0.7020376166666668,0.7066093999999999,0.0193885,0.020965683333333332,0.017474283333333333,0.0193885,0.6527783445711236,0.636851983975245,0.653521184643226,0.6527783445711236,0.7604404372095287,0.7532722935784116,0.7505540219863152,0.7604404372095287
rSTSF,0.6934980999999999,0.6905997333333334,0.6927320833333334,0.6934980999999999,0.02003988333333333,0.020533366666666667,0.020631166666666666,0.02003988333333333,0.6378584870936946,0.6335899595336721,0.6354507704084589,0.6378584870936946,0.7491377155229572,0.7476094939579232,0.750013389446813,0.7491377155229572
best_of_m1_m2_models,0.6999999999999998,0.69,0.66,0.7600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multirocket,0.6916717,0.6896685166666666,0.6946984333333334,0.6916717,0.025280433333333335,0.026584333333333335,0.024351499999999998,0.025280433333333335,0.6214820089902421,0.6158585860830821,0.6270878612250981,0.6214820089902421,0.7618614110962877,0.7634784289050053,0.7623089831299114,0.7618614110962877
hivecotev2,0.6960087666666667,0.6875445333333333,0.6920760833333333,0.6960087666666667,0.02040548333333333,0.021846383333333334,0.021134233333333332,0.02040548333333333,0.6393540038598919,0.6268892525577426,0.6333979843855854,0.6393540038598919,0.752663467154035,0.7481998207399284,0.7507542106203619,0.752663467154035
ts_fresh,0.6732314,0.67123685,0.6736831333333333,0.6732314,0.023187749999999997,0.022788933333333334,0.022553016666666665,0.023187749999999997,0.6088518965619923,0.6079646387669965,0.6110658678070586,0.6088518965619923,0.7376109234891753,0.7345090810392865,0.7363004038985128,0.7376109234891753
MrSQM,0.6587625333333333,0.6583511833333333,0.6609174666666667,0.6587625333333333,0.021194016666666666,0.021091683333333333,0.020972383333333334,0.021194016666666666,0.5999185267039593,0.5997912674048698,0.6026888771460636,0.5999185267039593,0.7176065548439384,0.7169111053173113,0.7191460729992247,0.7176065548439384
DrCIF,0.656923,0.6550520166666667,0.6576963833333332,0.656923,0.017398316666666667,0.01727615,0.017459316666666665,0.017398316666666667,0.6086175295964376,0.6070857307920065,0.6092215541783248,0.6086175295964376,0.7052284613437837,0.7030183066448564,0.7061712179702894,0.7052284613437837
elastic_ensemble,0.6413294166666667,0.6410380999999999,0.6480807833333334,0.6413294166666667,0.02109788333333333,0.02008958333333333,0.021250400000000003,0.02109788333333333,0.5827523170839225,0.585260496324875,0.5890802267652937,0.5827523170839225,0.6999065144573943,0.6968156867392213,0.7070813072490442,0.6999065144573943
fresh_prince,0.54248345,0.5412507333333333,0.5431370999999999,0.54248345,0.0206525,0.020776183333333333,0.021225033333333334,0.0206525,0.485142945935449,0.48356678339834097,0.4842069529048325,0.485142945935449,0.5998239462891212,0.5989346645582785,0.6020672677923141,0.5998239462891212
inception_time,0.25256505,0.16448708333333334,0.35019626666666664,0.25256505,0.0962305,0.08851845000000001,0.16067816666666668,0.0962305,0.1032902436156104,0.08135915683744588,0.12451025240142664,0.1032902436156104,0.5197437718227252,0.4102536835052078,0.7963103921336909,0.5197437718227252
