Classifier,filter_ds,f1_score_mean,f1_score_std,f1_score_ci_l,f1_score_ci_h
ridge_cv,_0_0,0.7620335,0.0202704,0.7057539089148928,0.8183131749841646
ridge_cv,_0_1,0.6794363,0.0250806,0.6098012492012196,0.749071252973225
ridge_cv,_0_2,0.7073324,0.0215116,0.6476064841501686,0.767058257541411
ridge_cv,_1_0,0.6977573,0.0157473,0.6540356951455659,0.741478938814109
ridge_cv,_1_2,0.6612434,0.026156,0.5886225710584638,0.7338641546874873
ridge_cv,_1_4,0.66257,0.0170282,0.615291995381159,0.7098479824700726
rdst,_0_0,0.7653067,0.0158488,0.7213034891993197,0.8093099639166919
rdst,_0_1,0.6897133,0.0235182,0.6244161892422533,0.7550103413249576
rdst,_0_2,0.7275821,0.0201249,0.6717063770851027,0.7834578819300656
rdst,_1_0,0.7085645,0.0107694,0.6786640154574859,0.7384650789020717
rdst,_1_2,0.6667949,0.0201625,0.6108146849316417,0.7227750575640312
rdst,_1_4,0.6727585,0.0174978,0.6241767304326895,0.7213401998956408
fresh_prince,_0_0,0.6724367,0.0351513,0.5748408908858222,0.770032420508149
fresh_prince,_0_1,0.5645201,0.0187379,0.5124953411875898,0.6165448593611925
fresh_prince,_0_2,0.5959103,0.0219009,0.5351036633755433,0.6567168999890307
fresh_prince,_1_0,0.4827798,0.0060553,0.465967715731481,0.4995919654900543
fresh_prince,_1_2,0.4689043,0.0139132,0.4302749680583267,0.507533615567834
fresh_prince,_1_4,0.4629532,0.0288985,0.3827181211512826,0.5431882264334102
elastic_ensemble,_0_0,0.7117888,0.0272936,0.6360096398513857,0.7875678650524178
elastic_ensemble,_0_1,0.6418763,0.0178055,0.5924403779267805,0.6913121347054311
elastic_ensemble,_0_2,0.6863395,0.0240189,0.6196524832750729,0.7530265544812438
elastic_ensemble,_1_0,0.6198906,0.0154523,0.5769879942296781,0.6627931390505082
elastic_ensemble,_1_2,0.6089354,0.0189766,0.5562479837375168,0.6616228831254377
elastic_ensemble,_1_4,0.577398,0.0169906,0.5302244989288161,0.6245715440202895
