id,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,country,city,category
0,13,0,0,0,0,0,0,0,0,0,16,27,36,39,42,46,49,51,54,57,57,51,38,24,1,0,4
1,0,0,0,0,0,0,0,0,0,0,20,44,66,69,53,37,32,37,41,42,37,28,19,11,1,0,4
2,0,0,0,0,0,0,0,0,4,14,27,42,50,48,37,29,27,29,29,27,22,17,0,0,1,0,4
3,0,0,0,0,0,0,0,0,21,35,53,67,75,75,67,57,50,47,45,41,32,21,0,0,1,0,4
4,0,0,0,0,0,0,0,0,3,7,23,47,70,75,51,0,0,0,0,0,0,0,0,0,1,0,4
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
6,66,74,75,60,32,0,0,0,0,0,12,18,25,30,33,33,33,36,42,49,56,59,59,60,1,0,4
7,0,0,0,0,0,0,0,0,0,0,11,18,27,35,41,44,41,38,40,47,54,51,36,19,1,0,4
8,0,0,0,0,0,0,0,10,15,20,29,42,52,49,35,28,32,40,42,32,18,0,0,0,1,0,4
9,0,0,0,0,0,0,0,8,17,29,40,50,52,47,38,26,20,31,47,35,0,0,0,0,1,0,4
10,0,0,0,0,0,0,0,0,0,0,39,48,49,49,45,39,37,42,48,49,45,35,22,14,1,0,4
11,0,0,0,0,0,0,0,0,0,0,34,60,75,69,55,48,50,55,57,53,44,32,20,11,1,0,4
12,0,0,0,0,0,0,0,0,0,0,18,36,53,50,32,0,10,13,19,23,21,15,0,0,1,0,4
13,0,0,0,0,0,0,0,0,0,0,22,44,68,75,56,0,0,0,0,0,0,0,0,0,1,0,4
14,17,9,0,0,0,0,0,0,0,0,35,52,60,55,42,30,27,30,35,40,42,39,33,25,1,0,4
15,8,4,0,0,0,0,0,0,0,0,46,65,75,71,58,43,34,32,33,34,32,26,20,13,1,0,4
16,9,0,0,0,0,0,0,0,23,39,52,58,53,40,26,15,0,9,12,16,19,20,17,13,1,0,4
17,0,0,0,0,0,0,0,0,13,28,50,69,75,65,44,26,0,16,21,27,26,21,13,5,1,0,4
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,48,59,51,30,1,0,4
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,50,68,63,46,41,39,1,0,4
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,34,29,19,0,0,1,0,4
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,65,75,48,0,0,1,0,4
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,45,51,0,0,0,0,1,0,4
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,35,45,39,26,0,0,1,0,4
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,20,19,23,35,32,0,0,0,1,0,4
26,0,0,0,0,0,0,0,0,0,0,0,36,51,49,31,20,24,45,65,75,63,40,0,0,1,0,4
27,0,0,0,0,0,0,0,0,0,0,0,29,50,54,43,32,41,63,75,63,36,0,0,0,1,0,4
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,46,62,62,48,26,0,1,0,4
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,42,32,0,0,0,1,0,4
30,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,30,29,39,58,69,59,33,0,0,1,0,4
31,0,0,0,0,0,0,0,0,0,0,0,0,0,35,50,32,37,60,75,67,43,0,0,0,1,0,4
32,0,0,0,0,0,0,0,0,0,0,0,2,13,32,39,27,25,42,65,75,60,36,15,0,1,0,4
33,0,0,0,0,0,0,0,0,0,0,0,1,5,18,35,44,41,38,41,40,29,0,0,0,1,0,4
34,0,0,0,0,0,0,0,10,22,23.648648,0,39,56,66,66,57,46,39,38,38,34,25,14,0,1,0,4
